@relation clustering_1_clustered

@attribute Instance_number numeric
@attribute requests/s numeric
@attribute processtime numeric
@attribute queuetime numeric
@attribute sendtime numeric
@attribute Cluster {cluster0,cluster1,cluster2}

@data
110,1315.096884,0.002061,0.000138,0.000077,cluster0
111,1360.701646,0.002045,0.000147,0.000102,cluster0
112,1342.896976,0.002145,0.000125,0.000093,cluster0
113,1362.9122,0.002226,0.000225,0.000105,cluster0
114,1335.839144,0.002346,0.000124,0.00011,cluster0
115,1351.445381,0.002484,0.003953,0.000106,cluster0
116,1358.569288,0.00241,0.000796,0.000105,cluster0
117,1391.417634,0.001912,0.000121,0.000082,cluster0
118,1240.766267,0.002037,0.000106,0.000087,cluster0
119,1259.587353,0.002356,0.000872,0.000083,cluster0
120,1315.765881,0.00247,0.000626,0.000149,cluster0
121,1362.517612,0.001904,0.00011,0.00012,cluster0
122,1271.49921,0.002049,0.000175,0.000072,cluster0
123,1258.040777,0.002581,0.006226,0.000083,cluster0
124,1325.240491,0.002578,0.003877,0.000119,cluster0
125,1223.636108,0.001955,0.000127,0.000099,cluster0
126,1306.695509,0.002126,0.000515,0.000071,cluster0
127,1256.239847,0.002314,0.001191,0.000093,cluster0
128,1288.552297,0.002137,0.000103,0.000085,cluster0
129,1252.391848,0.002129,0.000324,0.000108,cluster0
130,1255.12328,0.0022,0.000971,0.000099,cluster0
131,1220.448151,0.002156,0.000113,0.000111,cluster0
132,1193.314107,0.002207,0.000181,0.000125,cluster0
133,1214.502788,0.002039,0.000125,0.000092,cluster0
134,1167.399133,0.003321,0.003763,0.000141,cluster0
135,1200.985404,0.002635,0.001246,0.000125,cluster0
136,1254.813272,0.002589,0.001636,0.000103,cluster0
137,1154.477381,0.002089,0.000111,0.000121,cluster0
138,1257.929331,0.002365,0.002146,0.000112,cluster0
139,1205.428649,0.002197,0.000362,0.000096,cluster0
140,1266.110779,0.002124,0.000126,0.000104,cluster0
141,1179.900252,0.001986,0.000107,0.000075,cluster0
142,1185.89479,0.002612,0.000886,0.000105,cluster0
143,1137.285198,0.002521,0.000348,0.000105,cluster0
144,1143.640233,0.002682,0.001944,0.000124,cluster0
145,1123.20622,0.002825,0.001463,0.000118,cluster0
146,1204.689283,0.002736,0.000953,0.000118,cluster0
147,1155.708895,0.002097,0.000088,0.000091,cluster0
148,1170.058513,0.002137,0.000119,0.000085,cluster0
149,1108.535603,0.002118,0.00009,0.000081,cluster0
150,1109.859212,0.002203,0.000096,0.00011,cluster0
151,1173.382635,0.002153,0.000295,0.000079,cluster0
152,1172.281957,0.003171,0.00308,0.000122,cluster0
153,1139.980421,0.002762,0.000391,0.000114,cluster0
154,1137.874228,0.002243,0.000128,0.000097,cluster0
155,1177.284687,0.002213,0.000102,0.000101,cluster0
156,1133.945521,0.00215,0.000372,0.000084,cluster0
157,1129.349451,0.001918,0.000154,0.000089,cluster0
158,1179.95835,0.002377,0.000373,0.000101,cluster0
159,1109.549072,0.002596,0.002323,0.000109,cluster0
160,1187.829252,0.002323,0.000638,0.000106,cluster0
161,1197.542468,0.002177,0.00021,0.000078,cluster0
162,1168.050092,0.002126,0.000678,0.000082,cluster0
163,1197.369943,0.002131,0.00039,0.00008,cluster0
164,1151.178567,0.002364,0.000486,0.000122,cluster0
165,1123.977063,0.002938,0.000754,0.000178,cluster0
166,1116.742405,0.003224,0.00654,0.000134,cluster0
167,1225.278908,0.002508,0.000666,0.000095,cluster0
168,1135.750963,0.002021,0.000143,0.000091,cluster0
169,1151.514078,0.00214,0.000116,0.000103,cluster0
170,1130.442842,0.002067,0.001023,0.000058,cluster0
171,1132.099572,0.001945,0.000112,0.000099,cluster0
172,1161.684907,0.001949,0.000103,0.000135,cluster0
173,1097.816961,0.002296,0.000244,0.000077,cluster0
174,1098.15427,0.002647,0.001021,0.000072,cluster0
175,1088.010049,0.003075,0.00606,0.000128,cluster0
176,1062.824999,0.002489,0.00043,0.000066,cluster0
177,1064.387463,0.002681,0.002023,0.000047,cluster0
178,1103.635625,0.002024,0.000119,0.000104,cluster0
179,1045.087136,0.00199,0.000104,0.000145,cluster0
180,1067.443353,0.002823,0.003467,0.000134,cluster0
181,1126.343556,0.002407,0.001462,0.000131,cluster0
182,1132.283897,0.002216,0.000153,0.000083,cluster0
183,1048.558671,0.002764,0.003613,0.000071,cluster0
184,1075.549122,0.002445,0.002537,0.000075,cluster0
185,1067.780432,0.00198,0.000128,0.000034,cluster0
186,1111.7091,0.002268,0.000133,0.000036,cluster0
187,1094.858144,0.002033,0.000138,0.000045,cluster0
188,1052.072922,0.002369,0.000152,0.000078,cluster0
189,1072.415548,0.002394,0.001857,0.000105,cluster0
190,1124.725047,0.002071,0.000604,0.000098,cluster0
191,1082.17824,0.002392,0.000247,0.000118,cluster0
192,1188.204021,0.002152,0.000833,0.000093,cluster0
193,1116.821793,0.001987,0.000133,0.000053,cluster0
194,1089.734239,0.002112,0.000645,0.000128,cluster0
195,1210.651479,0.002114,0.000554,0.000129,cluster0
196,1140.910196,0.002201,0.000154,0.000141,cluster0
197,1235.700294,0.001951,0.000168,0.000121,cluster0
198,1186.044365,0.002067,0.000172,0.000106,cluster0
199,1227.29958,0.001917,0.000114,0.000101,cluster0
200,1132.502421,0.001932,0.000116,0.000066,cluster0
201,1116.295853,0.001955,0.000144,0.000122,cluster0
202,1136.658271,0.002438,0.001135,0.000119,cluster0
203,1189.660924,0.00244,0.000246,0.000099,cluster0
204,1229.444453,0.002162,0.000132,0.000104,cluster0
205,1127.999334,0.002153,0.000144,0.00011,cluster0
206,1166.062858,0.002049,0.000126,0.000085,cluster0
207,1042.973127,0.00219,0.000124,0.000114,cluster0
208,1143.755785,0.001946,0.000312,0.000082,cluster0
209,1161.157484,0.002049,0.000138,0.000099,cluster0
210,1210.071199,0.00212,0.000128,0.000077,cluster0
211,1180.198843,0.00207,0.000121,0.000091,cluster0
212,1131.789392,0.002059,0.000123,0.000074,cluster0
213,1185.840563,0.00185,0.000166,0.000072,cluster0
214,1198.650162,0.00218,0.000115,0.000079,cluster0
215,1207.298587,0.002085,0.000112,0.000104,cluster0
216,1228.464826,0.002118,0.000128,0.00007,cluster0
217,1244.917806,0.002032,0.000135,0.000105,cluster0
218,1213.219831,0.002119,0.000129,0.00008,cluster0
219,1242.378486,0.002097,0.00012,0.000136,cluster0
220,1149.914873,0.002011,0.000123,0.000103,cluster0
221,1232.559873,0.002097,0.000129,0.000122,cluster0
222,1218.271415,0.002024,0.000107,0.000094,cluster0
223,1267.685675,0.002035,0.00012,0.000068,cluster0
224,1299.552613,0.002001,0.000128,0.000074,cluster0
225,1241.830825,0.001949,0.000221,0.000076,cluster0
226,1284.483497,0.001965,0.000125,0.000077,cluster0
227,1250.736107,0.00192,0.000125,0.000104,cluster0
228,1192.027897,0.002084,0.000115,0.000086,cluster0
229,1173.396657,0.002206,0.000449,0.000096,cluster0
230,1270.673392,0.001988,0.000128,0.000082,cluster0
231,1191.570335,0.001947,0.000111,0.000098,cluster0
232,1237.768085,0.002234,0.000268,0.000086,cluster0
233,1220.45368,0.002115,0.00011,0.00007,cluster0
234,1226.115948,0.002004,0.000133,0.000079,cluster0
