Timestamp;Capacidad disponible;Capacidad utilizada;% Memoria utilizada
2024/03/07 21:32:39;4738444;6207972;56.71237051469632
2024/03/07 21:32:41;4738192;6208224;56.71467263805797
2024/03/07 21:32:43;4735672;6210744;56.73769387167453
2024/03/07 21:32:45;4734664;6211752;56.74690236512115
2024/03/07 21:32:47;4733656;6212760;56.75611085856777
2024/03/07 21:32:49;4732648;6213768;56.765319352014394
2024/03/07 21:32:51;4730884;6215532;56.781434215545985
2024/03/07 21:32:54;4729624;6216792;56.79294483235426
2024/03/07 21:32:56;4728872;6217544;56.79981466079857
2024/03/07 21:32:58;4728368;6218048;56.80441890752188
2024/03/07 21:33:00;4726352;6220064;56.82283589441512
2024/03/07 21:33:02;4726352;6220064;56.82283589441512
2024/03/07 21:33:04;4725848;6220568;56.82744014113843
2024/03/07 21:33:06;4725092;6221324;56.8343465112234
2024/03/07 21:33:08;4725092;6221324;56.8343465112234
2024/03/07 21:33:10;4894408;6052008;55.287575403675504
2024/03/07 21:33:12;5041492;5904924;53.94390273492255
2024/03/07 21:33:14;5037420;5908996;53.981102125115655
2024/03/07 21:33:16;5034652;5911764;54.006388940453206
2024/03/07 21:33:18;5033896;5912520;54.01329531053817
2024/03/07 21:33:20;5033644;5912772;54.01559743389983
2024/03/07 21:33:22;5033624;5912792;54.01578014210313
2024/03/07 21:33:24;5032892;5913524;54.02246726234413
2024/03/07 21:33:26;5032640;5913776;54.02476938570579
2024/03/07 21:33:28;5033900;5912516;54.01325876889751
2024/03/07 21:33:30;5032892;5913524;54.02246726234413
2024/03/07 21:33:32;5032640;5913776;54.02476938570579
2024/03/07 21:33:34;5038204;5908212;53.97393996354606
2024/03/07 21:33:36;5036948;5909468;53.98541403871368
2024/03/07 21:33:38;5034684;5911732;54.00609660732791
2024/03/07 21:33:40;5034432;5911984;54.00839873068957
2024/03/07 21:33:42;5034432;5911984;54.00839873068957
2024/03/07 21:33:44;5034432;5911984;54.00839873068957
2024/03/07 21:33:46;5034180;5912236;54.01070085405122
2024/03/07 21:33:48;5033676;5912740;54.01530510077453
2024/03/07 21:33:50;5032920;5913496;54.0222114708595
2024/03/07 21:33:52;5032416;5914000;54.026815717582814
2024/03/07 21:33:54;5032416;5914000;54.026815717582814
2024/03/07 21:33:56;5032644;5913772;54.02473284406513
2024/03/07 21:33:58;5037144;5909272;53.98362349832128
2024/03/07 21:34:00;5036892;5909524;53.98592562168293
2024/03/07 21:34:02;5036892;5909524;53.98592562168293
2024/03/07 21:34:04;5036388;5910028;53.99052986840624
2024/03/07 21:34:06;5041116;5905300;53.94733764914471
2024/03/07 21:34:08;5039100;5907316;53.96575463603795
2024/03/07 21:34:10;5038600;5907816;53.9703223411206
2024/03/07 21:34:12;5038600;5907816;53.9703223411206
2024/03/07 21:34:14;5038600;5907816;53.9703223411206
2024/03/07 21:34:16;5036584;5909832;53.98873932801384
2024/03/07 21:34:18;5034568;5911848;54.00715631490709
2024/03/07 21:34:20;5034568;5911848;54.00715631490709
2024/03/07 21:34:22;5039520;5906896;53.961917763768525
2024/03/07 21:34:24;5038512;5907904;53.97112625721515
2024/03/07 21:34:26;5036496;5909920;53.98954324410839
2024/03/07 21:34:28;5035740;5910676;53.99644961419336
2024/03/07 21:34:30;5035992;5910424;53.9941474908317
2024/03/07 21:34:32;5035992;5910424;53.9941474908317
2024/03/07 21:34:34;5035992;5910424;53.9941474908317
2024/03/07 21:34:36;5035488;5910928;53.99875173755501
2024/03/07 21:34:39;5037504;5908912;53.98033475066177
2024/03/07 21:34:41;5037252;5909164;53.98263687402343
2024/03/07 21:34:43;5036496;5909920;53.98954324410839
2024/03/07 21:34:45;5036496;5909920;53.98954324410839
2024/03/07 21:34:47;5036244;5910172;53.99184536747005
2024/03/07 21:34:49;5040980;5905436;53.948580064927185
2024/03/07 21:34:51;5038964;5907452;53.96699705182043
2024/03/07 21:34:53;5038460;5907956;53.971601298543746
2024/03/07 21:34:55;5038460;5907956;53.971601298543746
2024/03/07 21:34:57;5037956;5908460;53.97620554526706
2024/03/07 21:34:59;5037452;5908964;53.98080979199037
2024/03/07 21:35:01;5037200;5909216;53.98311191535202
2024/03/07 21:35:03;5037200;5909216;53.98311191535202
2024/03/07 21:35:05;5042960;5903456;53.93049195279989
2024/03/07 21:35:07;5041956;5904460;53.93966390460585
2024/03/07 21:35:09;5046964;5899452;53.89391377049803
2024/03/07 21:35:11;5046208;5900208;53.900820140583
2024/03/07 21:35:13;5046208;5900208;53.900820140583
2024/03/07 21:35:15;5045200;5901216;53.91002863402962
2024/03/07 21:35:17;5044696;5901720;53.91463288075293
2024/03/07 21:35:19;5044444;5901972;53.91693500411459
2024/03/07 21:35:21;5044444;5901972;53.91693500411459
2024/03/07 21:35:23;5044192;5902224;53.919237127476244
2024/03/07 21:35:25;5043940;5902476;53.9215392508379
2024/03/07 21:35:27;5049148;5897268;53.873962034697016
2024/03/07 21:35:29;5048648;5897768;53.878529739779665
2024/03/07 21:35:31;5048396;5898020;53.880831863141324
2024/03/07 21:35:33;5048144;5898272;53.883133986502976
2024/03/07 21:35:35;5046132;5900284;53.901514431755565
2024/03/07 21:35:37;5045880;5900536;53.90381655511722
2024/03/07 21:35:39;5044116;5902300;53.91993141864881
2024/03/07 21:35:41;5043864;5902552;53.92223354201046
2024/03/07 21:35:43;5043360;5903056;53.92683778873377
2024/03/07 21:35:45;5041092;5905324;53.94755689898867
2024/03/07 21:35:47;5041092;5905324;53.94755689898867
2024/03/07 21:35:49;5040336;5906080;53.95446326907364
2024/03/07 21:35:51;5040336;5906080;53.95446326907364
2024/03/07 21:35:53;5040084;5906332;53.956765392435294
2024/03/07 21:35:55;5040084;5906332;53.956765392435294
2024/03/07 21:35:57;5044812;5901604;53.91357317317376
2024/03/07 21:35:59;5042796;5903620;53.931990160067
2024/03/07 21:36:01;5042796;5903620;53.931990160067
2024/03/07 21:36:03;5042544;5903872;53.93429228342866
2024/03/07 21:36:05;5042292;5904124;53.93659440679031
2024/03/07 21:36:07;5040276;5906140;53.955011393683556
2024/03/07 21:36:09;5040024;5906392;53.957313517045215
2024/03/07 21:36:11;5039524;5906892;53.961881222127865
2024/03/07 21:36:13;5039272;5907144;53.964183345489516
2024/03/07 21:36:15;5039272;5907144;53.964183345489516
2024/03/07 21:36:17;5037760;5908656;53.977996085659456
2024/03/07 21:36:19;5037760;5908656;53.977996085659456
2024/03/07 21:36:21;5037508;5908908;53.98029820902111
2024/03/07 21:36:24;5037256;5909160;53.982600332382766
2024/03/07 21:36:26;5036756;5909660;53.987168037465416
2024/03/07 21:36:28;5036252;5910164;53.99177228418873
2024/03/07 21:36:30;5036252;5910164;53.99177228418873
2024/03/07 21:36:32;5036000;5910416;53.99407440755038
2024/03/07 21:36:34;5035752;5910664;53.99633998927138
2024/03/07 21:36:36;5035752;5910664;53.99633998927138
2024/03/07 21:36:38;5035752;5910664;53.99633998927138
2024/03/07 21:36:40;5035248;5911168;54.00094423599469
2024/03/07 21:36:42;5045448;5900968;53.90776305230863
2024/03/07 21:36:44;5044440;5901976;53.91697154575525
2024/03/07 21:36:46;5043936;5902480;53.92157579247856
2024/03/07 21:36:48;5042932;5903484;53.930747744284524
2024/03/07 21:36:50;5042680;5903736;53.933049867646176
2024/03/07 21:36:52;5040916;5905500;53.94916473117777
2024/03/07 21:36:54;5040916;5905500;53.94916473117777
