Timestamp;% CPU (global);% CPU (user);% CPU (system)
2024/03/03 00:24:39;19.4;3.5;9.7
2024/03/03 00:24:41;5.2;0.6;2.6
2024/03/03 00:24:44;3.3;0.0;0.7
2024/03/03 00:24:46;5.3;0.7;3.3
2024/03/03 00:24:48;3.2;0.6;0.6
2024/03/03 00:24:50;3.9;0.7;1.3
2024/03/03 00:24:52;2.6;0.0;0.7
2024/03/03 00:24:55;4.6;1.3;1.3
2024/03/03 00:24:57;5.0;0.6;1.9
2024/03/03 00:24:59;3.7;0.6;1.9
2024/03/03 00:25:01;3.3;0.7;0.7
2024/03/03 00:25:03;3.2;0.0;1.3
2024/03/03 00:25:05;5.3;0.0;2.7
2024/03/03 00:25:08;2.6;0.7;0.7
2024/03/03 00:25:10;3.2;0.0;1.9
2024/03/03 00:25:12;4.8;0.0;2.8
2024/03/03 00:25:14;6.0;0.7;3.3
2024/03/03 00:25:16;3.2;0.6;1.3
2024/03/03 00:25:19;3.2;0.0;1.3
2024/03/03 00:25:21;4.5;0.6;1.9
2024/03/03 00:25:23;3.9;0.0;1.9
2024/03/03 00:25:25;5.0;0.6;2.5
2024/03/03 00:25:27;3.2;0.0;1.3
2024/03/03 00:25:29;3.9;0.0;2.0
2024/03/03 00:25:32;4.7;0.7;2.7
2024/03/03 00:25:34;4.4;0.6;0.6
2024/03/03 00:25:36;3.3;0.7;1.3
2024/03/03 00:25:38;2.0;0.0;0.7
2024/03/03 00:25:40;3.9;0.0;0.6
2024/03/03 00:25:43;3.2;0.0;1.9
2024/03/03 00:25:45;2.6;0.0;1.3
2024/03/03 00:25:47;3.0;0.6;1.8
2024/03/03 00:25:49;5.1;0.6;2.6
2024/03/03 00:25:51;3.7;1.2;1.2
2024/03/03 00:25:54;4.5;0.6;1.3
2024/03/03 00:25:56;4.5;0.6;1.3
2024/03/03 00:25:58;2.7;0.0;1.3
2024/03/03 00:26:00;3.3;0.7;2.0
2024/03/03 00:26:02;2.6;0.6;0.6
2024/03/03 00:26:05;3.2;0.6;1.3
2024/03/03 00:26:07;2.6;0.0;1.3
2024/03/03 00:26:09;3.2;0.0;1.3
2024/03/03 00:26:11;5.2;1.3;1.9
2024/03/03 00:26:13;4.2;0.6;1.8
2024/03/03 00:26:16;4.4;0.6;1.3
2024/03/03 00:26:18;3.1;0.6;1.2
2024/03/03 00:26:20;2.6;0.6;0.6
2024/03/03 00:26:22;2.6;0.0;1.3
2024/03/03 00:26:24;3.3;0.7;0.7
